episode,expected_return,runtime
1,-1941.1540937709947,9.898276242000065
2,-1919.5012124533325,10.049732245999621
3,-1671.8246161504467,9.180760659000043
4,-2002.4781235270025,9.22142722100034
5,-2518.843933363809,9.2827452370002
6,-2507.9981882258976,9.247901767000258
7,-2507.3938593429143,9.231384378999792
8,-2509.366670852024,9.250396589000047
9,-2509.61404472485,9.283796750000874
10,-2509.655518929643,9.293830694999997
11,-2509.628293198375,9.313949737000257
12,-2509.618561932872,9.29562564600019
13,-2509.6243288058777,9.291543298999386
14,-2509.62170596521,9.28528763400027
15,-2509.6203996019785,9.332488688000012
16,-2509.620637761085,9.369036607999988
17,-2495.50335087204,9.357736486000249
18,-1959.3445271242276,9.379365925000457
19,-2077.147633530385,9.369251594999696
20,-1004.5327315739496,9.375320170000123
21,-1450.9309882259913,9.334381462000238
22,-1495.2312668014335,9.370885557999827
23,-1521.4721898519106,9.385645632999513
24,-1567.9907884932918,9.373892460000206
25,-1581.1860811842357,9.408290805999968
26,-1588.6097430782602,9.339614008999888
27,-1557.1656282939011,9.39000639599999
28,-1565.891853936208,9.375890055000127
29,-1531.0400798183166,9.38450335700054
30,-1524.124754648968,9.36291978600002
31,-1507.0155370444818,9.37841667200064
32,-1519.1076041727038,9.362802762000683
33,-1494.343104377294,9.350928498999565
34,-1496.8178511621736,9.370575324000129
35,-1491.455429270252,9.358804129999953
36,-1495.746138409822,9.419326066999929
37,-1472.6594608720375,9.37323128800017
38,-1476.1566174316272,9.383104525000817
39,-1495.0130372657322,9.36653545199988
40,-1470.2353228601623,9.35968749499989
41,-1476.576217258937,9.341921398999148
42,-1481.9953398538241,9.399743358000705
43,-1496.5389406014283,9.318939607000175
44,-1468.4742851780152,9.279296908000106
45,-1445.1363805045237,9.282639105999806
46,-1466.7928314733676,9.328101260999574
47,-1448.5762281719235,9.353619281000647
48,-1454.9848948442109,9.367313271000057
49,-1455.4666866747434,9.317680152999856
50,-1461.9675526938054,9.389886396000293
51,-1454.5580456855153,9.228311589000441
52,-1431.6269225231722,9.225383074999627
53,-1449.9398578974435,9.213046677999955
54,-1461.1441777112414,9.227191145000688
55,-1440.3104754552157,9.223438552000516
56,-1458.1089480760616,8.818554010000298
57,-1447.0467226537598,9.252131183999154
58,-1443.3543724493957,9.203313946999515
59,-1454.4100338820945,9.206583971000327
60,-1454.8843851870824,9.207238273000257
61,-1440.5827266556519,9.225024276000113
62,-1450.6323669169676,9.214515296000172
63,-1445.8060652613754,9.189789549000125
64,-1447.0253932073551,9.212447722000434
65,-1440.6223458147392,9.227061053000398
66,-1443.0027333690168,9.248418645000129
67,-1440.9529043998828,8.948603857999842
68,-1443.2045974985485,9.249878777000049
69,-1438.1476867630022,9.108976061999783
70,-1439.9652121640354,9.329965908999839
71,-1413.5128313100154,9.193228375000217
72,-1430.541566640578,9.310302840000077
73,-1438.1745769560396,9.396260782999889
74,-1418.1968082130627,9.353961517000243
75,-1404.8405987517667,9.384736666999743
76,-1434.854066777671,9.40633015200001
77,-1419.0270721664763,9.333664559000681
78,-1439.3694342739614,9.32244233900019
79,-1437.671481959655,9.237311842000054
80,-1428.8115328508156,9.452332273999673
81,-1434.2177637278692,9.353083818999949
82,-1435.7975792084646,9.358510039000066
83,-1424.2412816030578,9.26577829300004
84,-1420.7362474206393,9.344000484999924
85,-1423.124233904551,9.356728796000425
86,-1427.7460541371313,9.377860917999897
87,-1423.7812184934107,9.313765110000531
88,-1432.4776812184475,9.277473676999762
89,-1420.922268104273,9.110252360999766
90,-1422.701674698485,9.368750970999827
91,-1413.180629624607,9.378543339000316
92,-1406.8358126141472,9.393456678999428
93,-1404.4623471418627,9.287737207999271
94,-1405.3180634208672,9.414761353999893
95,-1394.7768671572355,9.343692096999803
96,-1384.0861950774784,9.404506517999835
97,-1378.7260693757773,9.378302572999928
98,-1375.7006291801586,9.376663216999987
99,-1379.0169883162373,9.354527133999909
100,-1383.183134772241,9.404125459999705
101,-1378.0739782584596,9.375452117999885
102,-1373.125485223537,9.36850911900001
103,-1371.249012603515,9.362758154000403
104,-1362.2173102877946,9.412305170999389
105,-1390.408620087036,9.319307780999225
106,-1376.781937302644,9.27876647499943
107,-1390.1761447635893,9.357608064000488
108,-1366.781825846968,9.355295070000466
109,-1399.5436837348834,9.404374400000052
110,-1390.6282976497014,9.370189653000125
111,-1379.5422563592535,9.320967054999528
112,-1373.3716701882538,9.35638999999992
113,-1397.4505445337054,9.326889201000085
114,-1392.0635478175427,9.352555833000224
115,-1376.4848562226057,9.339718958999583
116,-1376.3340473677388,9.354060976000255
117,-1381.6040877067235,9.358234073999483
118,-1365.7254854855098,9.387254706999556
119,-1385.537277582489,9.365386838999257
120,-1381.2707466685947,9.316700557999866
121,-1370.6855057199082,9.302720534999935
122,-1427.6497222738176,9.347534915999859
123,-1428.5696368799017,9.318449312000666
