episode,expected_return,runtime
1,-1860.4513427709771,9.905460913999832
2,-1773.74488469049,10.049677578999763
3,-1654.6144541950584,10.049402228999952
4,-1490.239973914807,10.048850272999971
5,-1408.463784743535,10.049626974999683
6,-1708.1307369205592,10.050022429000364
7,-1604.6161419223426,10.04914622599972
8,-1442.235196480783,10.0499790570002
9,-1485.9327959920638,10.049776954000208
10,-1391.4901353149635,10.049989341000128
11,-1864.0243486230877,10.049970164000115
12,-1850.8462301687362,10.050010274000215
13,-1823.385594283304,10.050049692999892
14,-1746.9884010524665,10.049012155000128
15,-1636.402585302126,10.050012031000279
16,-1457.932262075953,10.04915505200006
17,-1434.5170661645875,10.049927650999962
18,-1517.4071332268372,10.049175030000242
19,-1380.4524541198416,10.04985267300026
20,-1807.0795697841531,10.049661215000015
21,-1828.8427097061278,10.049908896000034
22,-1498.0986066823173,9.337256685000284
23,-1487.241769493216,9.433732946999953
24,-1757.0594041632583,9.418844157999956
25,-1740.9679156827196,9.415995424999892
26,-1658.582780675626,9.405530819999967
27,-1610.170989146431,9.406024079999952
28,-1631.5389829922042,9.339841448999778
29,-1679.216626324471,9.386514142000124
30,-1682.588322099707,9.407705802999772
31,-1647.718101607194,9.394658784000057
32,-1632.7771100157088,9.346869330000118
33,-1636.473352804501,9.414259699000013
34,-1645.1119706268264,9.376420393999979
35,-1631.7430969592651,9.33915334500034
36,-1616.158542801671,9.361758909999935
37,-1651.747513345275,9.350803847999941
38,-1674.4294623222295,9.35154404900004
39,-1622.664558594801,9.380115528999795
40,-1747.8174192521547,9.377779549000024
41,-1726.3762903415522,9.428263030999915
42,-1729.8028065431563,9.371362009000222
43,-1719.3836044254954,9.333597329999975
44,-1753.119624310139,9.377020414000071
45,-1841.596684050109,9.365026081999986
46,-1934.3011295334666,9.406522782000138
47,-1791.0727625491322,9.381644267999945
48,-1567.3751370763403,9.353359391999675
49,-1638.646866473856,9.409608548000051
50,-1623.1623939231533,9.330017063000014
51,-1568.9757031944423,9.379528668999683
52,-1548.873558527822,9.378882984000029
53,-1575.8489877695824,9.352267425999798
54,-1502.6031943824482,9.361909578999985
55,-1551.6163746919458,9.369539148999593
56,-1563.6403270857384,9.374643453999852
57,-1552.7707615430036,9.36854105500015
58,-1550.3057036833907,9.387805212999865
59,-1590.0711878519085,9.39108939300013
60,-1529.195964125564,9.379495864000091
61,-1454.982326009202,9.400220941000043
62,-1389.7334818631987,9.378379656999641
63,-1286.5836949915033,9.366470205000041
64,-1146.0098876656743,9.389971562999563
65,-1097.5350537316497,9.353062721999777
66,-1146.377645000045,9.403306414000326
67,-1078.2990485224354,9.283794516000853
68,-733.8818378118194,9.345107187999929
69,-1552.9418736169112,9.337178366999979
70,-1090.5883278297392,9.329427278000367
71,-1093.265232547906,9.225817908999488
72,-1101.5965628649883,9.2396761279997
73,-1219.8973477936336,9.340513918000397
74,-1236.5376902114097,9.384546162999868
75,-1140.8903047297777,9.224629301999812
76,-1146.574146956617,8.860017721999611
77,-1170.3612587455366,8.857065750000402
78,-1142.394671710099,9.211420976999761
79,-1056.6020345343923,9.22131239800001
80,-980.7841063302401,8.858407517999694
81,-974.4211591145327,8.858094960999551
82,-611.19216137949,9.212750527000026
83,-819.741583415894,9.19757749099972
84,-930.4202291039489,9.19443493000017
85,-1584.0792532990417,9.223366503999387
86,-2506.679775824965,9.229225058999873
87,-835.6083186164426,9.235078953000084
88,-942.7544457051644,9.269624239999757
89,-1003.6994196204814,9.261629285000708
90,-978.0543455599859,9.271551306999754
91,-982.997852812003,9.306857151000258
92,-949.6865519464145,9.09603071500078
93,-700.2184492117271,9.326700761000211
94,-972.191363373218,9.356883700999788
95,-968.7699512171442,9.302815173000454
96,-960.873802177895,9.410526523999579
97,-974.9224997872105,9.413382555999306
98,-936.4866726493663,9.411831680000432
99,-917.9769926359219,9.411997191999944
100,-1004.4983098431941,9.390507866999542
101,-966.9314504401168,9.400554548999935
102,-939.2560588152282,9.407316143000571
103,-972.0588498550524,9.369731863000197
104,-1011.7055012632646,9.418240922000223
105,-1028.0417325585422,9.371756151999762
106,-1021.1749839801479,9.362384923999343
107,-1003.2773463639448,9.381195029999617
108,-967.9861261290694,9.385105037999892
109,-966.5588198707463,9.412901879999481
110,-916.1228354933999,9.366741688999355
111,-997.6270334532525,9.36641188900012
112,-931.7944028041316,9.340203957000085
113,-963.4725952043246,9.33243968899933
114,-714.11670738753,9.337526054999216
115,-491.58981599027686,9.383213946000069
116,-502.71086442515184,9.408159724000143
117,-537.5516298770578,9.361909316000492
118,-243.63727474010446,9.335476083000685
119,-533.0576639611697,9.374539657999776
120,-534.9532366377944,9.361436598999717
121,-531.9286558978167,9.382053682000333
122,-241.26579622221968,9.378583577999962
123,-246.4631402881864,9.265050749000693
124,-244.78526443348423,9.387709999000435
125,-243.33711557988153,9.354364008999255
126,-247.418287927341,9.376878523000414
127,-240.0753491781286,9.24774970099952
128,-240.50745426925354,9.237647363000178
